"","DT","Temp","Site"
"314",2022-01-18,37.9766666666667,"Acadia Aqua Farm"
"315",2022-01-19,38.28,"Acadia Aqua Farm"
"316",2022-01-20,37.7691666666667,"Acadia Aqua Farm"
"317",2022-01-21,37.03875,"Acadia Aqua Farm"
"318",2022-01-22,36.8770833333333,"Acadia Aqua Farm"
"319",2022-01-23,36.42,"Acadia Aqua Farm"
"320",2022-01-24,35.9495833333333,"Acadia Aqua Farm"
"321",2022-01-25,35.7454166666667,"Acadia Aqua Farm"
"322",2022-01-26,35.59,"Acadia Aqua Farm"
"323",2022-01-27,35.7379166666667,"Acadia Aqua Farm"
"324",2022-01-28,35.3716666666667,"Acadia Aqua Farm"
"325",2022-01-29,34.69,"Acadia Aqua Farm"
"326",2022-01-30,34.8779166666667,"Acadia Aqua Farm"
"327",2022-01-31,34.7833333333333,"Acadia Aqua Farm"
"328",2022-02-01,34.14375,"Acadia Aqua Farm"
"329",2022-02-02,34.1491666666667,"Acadia Aqua Farm"
"330",2022-02-03,34.28125,"Acadia Aqua Farm"
"331",2022-02-04,33.7783333333333,"Acadia Aqua Farm"
"332",2022-02-05,33.3516666666667,"Acadia Aqua Farm"
"333",2022-02-06,33.4991666666667,"Acadia Aqua Farm"
"334",2022-02-07,33.9216666666667,"Acadia Aqua Farm"
"335",2022-02-08,33.94,"Acadia Aqua Farm"
"336",2022-02-09,33.8670833333333,"Acadia Aqua Farm"
"337",2021-08-04,61.8608333333333,"Vertical Bay Farm"
"338",2021-08-05,59.4229166666667,"Vertical Bay Farm"
"339",2021-08-06,60.4754166666667,"Vertical Bay Farm"
"340",2021-08-07,59.6579166666667,"Vertical Bay Farm"
"341",2021-08-08,59.2433333333333,"Vertical Bay Farm"
"342",2021-08-09,60.0095833333333,"Vertical Bay Farm"
"343",2021-08-10,59.4583333333333,"Vertical Bay Farm"
"344",2021-08-11,59.5966666666667,"Vertical Bay Farm"
"345",2021-08-12,58.7333333333333,"Vertical Bay Farm"
"346",2021-08-13,58.5516666666667,"Vertical Bay Farm"
"347",2021-08-14,58.5041666666667,"Vertical Bay Farm"
"348",2021-08-15,57.9554166666667,"Vertical Bay Farm"
"349",2021-08-16,57.6220833333333,"Vertical Bay Farm"
"350",2021-08-17,58.0145833333333,"Vertical Bay Farm"
"351",2021-08-18,58.73375,"Vertical Bay Farm"
"352",2021-08-19,59.0541666666667,"Vertical Bay Farm"
"353",2021-08-20,59.0308333333333,"Vertical Bay Farm"
"354",2021-08-21,59.0441666666667,"Vertical Bay Farm"
"355",2021-08-22,59.2895833333333,"Vertical Bay Farm"
"356",2021-08-23,59.3395833333333,"Vertical Bay Farm"
"357",2021-08-24,58.9704166666667,"Vertical Bay Farm"
"358",2021-08-25,58.81375,"Vertical Bay Farm"
"359",2021-08-26,59.0195833333333,"Vertical Bay Farm"
"360",2021-08-27,59.1283333333333,"Vertical Bay Farm"
"361",2021-08-28,58.94625,"Vertical Bay Farm"
"362",2021-08-29,59.00625,"Vertical Bay Farm"
"363",2021-08-30,59.07375,"Vertical Bay Farm"
"364",2021-08-31,59.9416666666667,"Vertical Bay Farm"
"365",2021-09-01,60.8408333333333,"Vertical Bay Farm"
"366",2021-09-02,59.6454166666667,"Vertical Bay Farm"
"367",2021-09-03,58.3958333333333,"Vertical Bay Farm"
"368",2021-09-04,58.7075,"Vertical Bay Farm"
"369",2021-09-05,58.8966666666667,"Vertical Bay Farm"
"370",2021-09-06,59.4379166666667,"Vertical Bay Farm"
"371",2021-09-07,59.81125,"Vertical Bay Farm"
"372",2021-09-08,60.7,"Vertical Bay Farm"
"373",2021-09-09,61.08875,"Vertical Bay Farm"
"374",2021-09-10,60.65,"Vertical Bay Farm"
"375",2021-09-11,60.2333333333333,"Vertical Bay Farm"
"376",2021-09-12,60.5383333333333,"Vertical Bay Farm"
"377",2021-09-13,60.5325,"Vertical Bay Farm"
"378",2021-09-14,60.625,"Vertical Bay Farm"
"379",2021-09-15,60.6679166666667,"Vertical Bay Farm"
"380",2021-09-16,60.5625,"Vertical Bay Farm"
"381",2021-09-17,60.64,"Vertical Bay Farm"
"382",2021-09-18,60.6379166666667,"Vertical Bay Farm"
"383",2021-09-19,60.0216666666667,"Vertical Bay Farm"
"384",2021-09-20,59.79125,"Vertical Bay Farm"
"385",2021-09-21,59.86375,"Vertical Bay Farm"
"386",2021-09-22,60.26625,"Vertical Bay Farm"
"387",2021-09-23,60.5858333333333,"Vertical Bay Farm"
"388",2021-09-24,61.16875,"Vertical Bay Farm"
"389",2021-09-25,61.53,"Vertical Bay Farm"
"390",2021-09-26,61.4920833333333,"Vertical Bay Farm"
"391",2021-09-27,60.8220833333333,"Vertical Bay Farm"
"392",2021-09-28,60.8725,"Vertical Bay Farm"
"393",2021-09-29,60.06875,"Vertical Bay Farm"
"394",2021-09-30,59.4154166666667,"Vertical Bay Farm"
"395",2021-10-01,59.13875,"Vertical Bay Farm"
"396",2021-10-02,59.0616666666667,"Vertical Bay Farm"
"397",2021-10-03,58.865,"Vertical Bay Farm"
"398",2021-10-04,58.8533333333333,"Vertical Bay Farm"
"399",2021-10-05,58.9691666666667,"Vertical Bay Farm"
"400",2021-10-06,58.9191666666667,"Vertical Bay Farm"
"401",2021-10-07,58.96625,"Vertical Bay Farm"
"402",2021-10-08,58.9495833333333,"Vertical Bay Farm"
"403",2021-10-09,58.76875,"Vertical Bay Farm"
"404",2021-10-10,58.6141666666667,"Vertical Bay Farm"
"405",2021-10-11,58.5670833333333,"Vertical Bay Farm"
"406",2021-10-12,58.6366666666667,"Vertical Bay Farm"
"407",2021-10-13,58.73,"Vertical Bay Farm"
"408",2021-10-14,58.7625,"Vertical Bay Farm"
"409",2021-10-15,59.1529166666667,"Vertical Bay Farm"
"410",2021-10-16,59.2025,"Vertical Bay Farm"
"411",2021-10-17,59.0216666666667,"Vertical Bay Farm"
"412",2021-10-18,58.54875,"Vertical Bay Farm"
"413",2021-10-19,57.9195833333333,"Vertical Bay Farm"
"414",2021-10-20,57.7645833333333,"Vertical Bay Farm"
"415",2021-10-21,57.8020833333333,"Vertical Bay Farm"
"416",2021-10-22,57.8616666666667,"Vertical Bay Farm"
"417",2021-10-23,57.65625,"Vertical Bay Farm"
"418",2021-10-24,57.1629166666667,"Vertical Bay Farm"
"419",2021-10-25,57.02375,"Vertical Bay Farm"
"420",2021-10-26,56.8583333333333,"Vertical Bay Farm"
"421",2021-10-27,56.6141666666667,"Vertical Bay Farm"
"422",2021-10-28,56.2375,"Vertical Bay Farm"
"423",2021-10-29,56.1754166666667,"Vertical Bay Farm"
"424",2021-10-30,56.095,"Vertical Bay Farm"
"425",2021-10-31,56.1675,"Vertical Bay Farm"
"426",2021-11-01,56.1375,"Vertical Bay Farm"
"427",2021-11-02,55.7758333333333,"Vertical Bay Farm"
"428",2021-11-03,55.7433333333333,"Vertical Bay Farm"
"429",2021-11-04,55.3591666666667,"Vertical Bay Farm"
"430",2021-11-05,55.1579166666667,"Vertical Bay Farm"
"431",2021-11-06,55.1129166666667,"Vertical Bay Farm"
"432",2021-11-07,54.87625,"Vertical Bay Farm"
"433",2021-11-08,54.87375,"Vertical Bay Farm"
"434",2021-11-09,54.87875,"Vertical Bay Farm"
"435",2021-11-10,54.8845833333333,"Vertical Bay Farm"
"436",2021-11-11,54.6558333333333,"Vertical Bay Farm"
"437",2021-11-12,54.2083333333333,"Vertical Bay Farm"
"438",2021-11-13,54.4595833333333,"Vertical Bay Farm"
"439",2021-11-14,54.3804166666667,"Vertical Bay Farm"
"440",2021-11-15,54.0533333333333,"Vertical Bay Farm"
"441",2021-11-16,53.6633333333333,"Vertical Bay Farm"
"442",2021-11-17,53.50375,"Vertical Bay Farm"
"443",2021-11-18,53.0058333333333,"Vertical Bay Farm"
"444",2021-11-19,52.88625,"Vertical Bay Farm"
"445",2021-11-20,52.8629166666667,"Vertical Bay Farm"
"446",2021-11-21,52.5045833333333,"Vertical Bay Farm"
"447",2021-11-22,52.28125,"Vertical Bay Farm"
"448",2021-11-23,52.4741666666667,"Vertical Bay Farm"
"449",2021-11-24,52.32625,"Vertical Bay Farm"
"450",2021-11-25,52.0829166666667,"Vertical Bay Farm"
"451",2021-11-26,52.1116666666667,"Vertical Bay Farm"
"452",2021-11-27,51.6804166666667,"Vertical Bay Farm"
"453",2021-11-28,50.9141666666667,"Vertical Bay Farm"
"454",2021-11-29,51.13,"Vertical Bay Farm"
"455",2021-11-30,50.9658333333333,"Vertical Bay Farm"
"456",2021-12-01,51.0141666666667,"Vertical Bay Farm"
"457",2021-12-02,50.1420833333333,"Vertical Bay Farm"
"458",2021-12-03,49.91625,"Vertical Bay Farm"
"459",2021-12-04,49.5991666666667,"Vertical Bay Farm"
"460",2021-12-05,49.5041666666667,"Vertical Bay Farm"
